module,order_id,prev_run1_s,prev_run2_s,prev_run3_s
1305,1,172.551,182.893,175.604
1305,2,171.384,168.909,169.666
1305,3,172.083,168.995,172.448
1683,1,29.447,26.735,26.487
1683,2,28.73,25.328,25.898
1683,3,26.957,24.423,24.868
1685,1,32.658,25.745,24.993
1685,2,31.882,28.325,28.178
1685,3,31.669,26.07,24.538
1778,1,5.427,4.981,4.977
1778,2,4.574,4.548,4.722
1778,3,5.63,4.517,4.641
20,1,5.099,5.03,5.042
20,2,5.202,4.997,5.037
20,3,5.05,5.04,5.019
29,1,53.863,52.988,53.161
29,2,55.087,53.972,53.315
29,3,53.793,53.711,52.89
33,1,22.636,20.678,20.433
33,2,20.888,20.257,19.929
33,3,19.902,19.485,19.494
3320,1,1496.729,1482.193,1485.942
3320,2,1490.127,1507.022,1492.875
3320,3,1489.05,1484.402,0.0
3323,1,793.355,798.952,781.882
3323,2,760.613,779.47,789.362
3323,3,824.892,756.597,816.228
3613,1,950.518,948.85,966.456
3613,2,744.895,763.89,785.504
3613,3,748.675,799.365,775.792
