key,strategies
apache/curator@b29bb010ada7f17626438b828de1f9e122e5d7bf,curator_shade_keep_guava_base
apache/curator@a3ca8b5d159262fcd3c2fc7cdfc5c26c6c5473cd,curator_shade_keep_guava_base
netty/netty::transport-native-epoll@699549dcbcc4b2de5aaa6e707e157925d20e3791,native_build_toolchain
netty/netty::transport-native-epoll@f750e2eb6a9e8598091abb48c8c806c5ef64b0bd,native_build_toolchain
netty/netty::transport-native-epoll@58df783eb4fc50f95a1061dc4274020d6804caf4,native_build_toolchain
netty/netty::transport-native-epoll@c6a6aadaface1b2b66d2608dcdc6e4c04c1648cc,native_build_toolchain
netty/netty::transport-native-epoll@c3e33d376582fe165b4a891b035d39b84bee84be,native_build_toolchain
netty/netty::transport-native-epoll@dacd5c0feca5a469b872e9d14f6270ba25c5a0d8,native_build_toolchain
netty/netty::transport-native-epoll@c390810421cf0fe2bda22af8990bb7d8a2a99aed,native_build_toolchain
netty/netty::transport-native-epoll@7da28932bb6c547cd3851a713ceaf22864b20fc1,native_build_toolchain
netty/netty::transport-native-epoll@433f8ef8d50b4a5d793d5e879fc91561b23d8abb,native_build_toolchain
netty/netty::transport-native-epoll@70d4488ecbb91869ad17ae33c9f5c69f7e4ee956,native_build_toolchain
netty/netty::transport-native-epoll@7d34282f9d2ffdd64c91cb4780b09902d9779b92,native_build_toolchain
netty/netty::transport-native-epoll@9ec35d9109e883cea6521bd41512ce5d5813925b,native_build_toolchain
netty/netty::transport-native-epoll@51eda20432568ffdf736a673abc6b5a44839413f,native_build_toolchain
netty/netty::transport-native-epoll@69270b102a6339ef3279e3f0755526db001850ef,native_build_toolchain
netty/netty::transport-native-epoll@b43c4e3ce0e02dc45c38739e2d7dfa3ef8124145,native_build_toolchain
netty/netty::transport-native-epoll@43455dfe98202b8dc63d89ac3f04027c3e8f9f54,native_build_toolchain
netty/netty::transport-native-epoll@47579d07fe9b0232df4e83120131388864bfb52b,native_build_toolchain
netty/netty::transport-native-epoll@723539fefaf8572706869ba8e3d13b2f31e33894,native_build_toolchain
netty/netty::transport-native-epoll@3f6ddc0c60e5a95e73fc5ac2fd77fbdf3c372d63,native_build_toolchain
netty/netty::transport-native-epoll@4f988b1158a4f25ab3ea77debf018947b9d2b346,native_build_toolchain
netty/netty::transport-native-epoll@cbc995865ed1e082d5581744e9c90c6d119652b1,native_build_toolchain
netty/netty::transport-native-epoll@c29508672c7e9aa01bbe2a14f7438d82c5b25f91,native_build_toolchain
netty/netty::transport-native-epoll@7aeb4c4b516eb313a75c9c4d5d43bbe060598563,native_build_toolchain
netty/netty::transport-native-epoll@f49c94c83a5b2a2625913f57515c8dc6ab8c2639,native_build_toolchain
netty/netty::transport-native-epoll@47799635143d7a11b56c4a4e9a1e65ca221d28ca,native_build_toolchain
netty/netty::transport-native-epoll@1908d3a8b02b6ebd00b6c3c0f60cf31a8e31d2ca,native_build_toolchain
netty/netty::transport-native-epoll@c97c468daf0fadc3029aa590da8eac2fe8184c72,native_build_toolchain
netty/netty::transport-native-epoll@a34f445516e191ca6c4646f46c280f302e9e3ca7,native_build_toolchain
netty/netty::transport-native-epoll@5af457addca45f3fc6d912e7adabed9138ed61a5,native_build_toolchain
netty/netty::transport-native-epoll@97276486599de0d72d16ceeac8802afa2c2249ef,native_build_toolchain
netty/netty::transport-native-epoll@617415ae3eb5cce1b6a4198157ede01b05a5a891,native_build_toolchain
netty/netty::transport-native-epoll@55311263f295c87fbfb9af29268061374b11da28,native_build_toolchain
netty/netty::transport-native-epoll@cde0e2d0508013c57612f7241a6660010fa7116c,native_build_toolchain
netty/netty::transport-native-epoll@13231ab34709821e427b92199ec523cd2a29ef3d,native_build_toolchain
netty/netty::transport-native-epoll@99548d2a83f141930ea6ffbaa5f1fed9384b0924,native_build_toolchain
netty/netty::transport-native-epoll@aefe64bbbe424b870334637f06754bc983681466,native_build_toolchain
netty/netty::transport-native-epoll@b1947417b7444326965086b951b75f0128cf7085,native_build_toolchain
netty/netty::transport-native-epoll@86b2619f7f54d402588ee123c33573c5d0b17605,native_build_toolchain
netty/netty::transport-native-epoll@f773733af68d38086bb90c3a10392c8ae92d811f,native_build_toolchain
netty/netty::transport-native-epoll@2fd8695a63272123b44fe7edc16f9ffdd92bea94,native_build_toolchain
netty/netty::transport-native-epoll@1d0ce3e922febf5560add5ac3c7a2246cf2236e2,native_build_toolchain
netty/netty::transport-native-epoll@889f4fa9dc709b9845048006d4d2e7be6eb780e1,native_build_toolchain
netty/netty::transport-native-epoll@c89c90ae105bb15a06b76b0a11269a2c6ef2e1d5,native_build_toolchain
netty/netty::transport-native-epoll@e81dc9098cb6bd0b76539f8476de0375024e6c21,native_build_toolchain
netty/netty::transport-native-epoll@af686b8acef63b34aa0d265357dd6442ad205f44,native_build_toolchain
netty/netty::transport-native-epoll@7b1e6c9c8bafe2040221c63eacb1a007d801711d,native_build_toolchain
netty/netty::transport-native-epoll@b6557185d73cb0bd506c5bf835ab66b3811b001f,native_build_toolchain
netty/netty::transport-native-epoll@ee648c305b5cd613d531c645aaf7da7be82d13f2,native_build_toolchain
netty/netty::transport-native-epoll@90598737edbef91e3a5f3d6e45be47cb52fdebf3,native_build_toolchain
netty/netty::transport-native-epoll@c87c911c010c3a34a69e550d52299df20e5fc740,native_build_toolchain
netty/netty::transport-native-epoll@f4aebcb9324d43facce51f63e9423904525347c5,native_build_toolchain
netty/netty::transport-native-epoll@ddf1beba054f2634cc3269efa751ca0da98d934e,native_build_toolchain
netty/netty::transport-native-epoll@9eb029d630b269e907aaa4a19bc86753d70e399c,native_build_toolchain
netty/netty::transport-native-epoll@b4dad390dffefb04a2b2d518ad1c3515b0f7fb47,native_build_toolchain
netty/netty::transport-native-epoll@ade1223dd31d32e5ea0288b8a0f0fd148e231d0f,native_build_toolchain
netty/netty::transport-native-epoll@d7d6166fe5100b1955dd2d7ab83782e28da7f352,native_build_toolchain
netty/netty::transport-native-epoll@d41f28cd6ad0ddd7f90c7a9430b5e17a7a0827af,native_build_toolchain
netty/netty::transport-native-epoll@a733b965f53ea34aa8b3e52fd9c3dffbdcf3f7ac,native_build_toolchain
netty/netty::transport-native-epoll@257742648994569cadce5a6fac079bc8c041b141,native_build_toolchain
netty/netty::transport-native-epoll@1dd35f2ef703fac4c5fe2f6b5ad1ae24746950f0,native_build_toolchain skip_japicmp
netty/netty::transport-native-epoll@3bd421cf9525d3b3f8de2a9f649dceb14c87eccf,native_build_toolchain
netty/netty::transport-native-epoll@9fbd6993c0a61f53756236728267f966c2750b31,native_build_toolchain
netty/netty::transport-native-epoll@1cc6751b9403eabd6cfd0cd12086759ad29e4a12,native_build_toolchain
netty/netty::transport-native-epoll@adccf97256009196c8dbff84e1685012b47ed961,native_build_toolchain
netty/netty::transport-native-epoll@42926695861c012ee6153e6bc8c4846bd4b923e9,native_build_toolchain
netty/netty::transport-native-epoll@c05287c286f928e88de65e9b21a25ab42e20a1e4,native_build_toolchain
netty/netty::transport-native-epoll@acc352521ce3ef4200095404950f7d2b4808c4ef,native_build_toolchain
netty/netty::transport-native-epoll@6038b594147e31ab71b100d7ded8534c07c4e5f5,native_build_toolchain
netty/netty::transport-native-epoll@da1a448d5bc4f36cc1744db93fcaf64e198db2bd,native_build_toolchain
netty/netty::transport-native-epoll@2e346c1d1d6fc58762f52fd31ee4dc5a92d3a5bd,native_build_toolchain
